date,product_id,quantity,price,customer_id,category
2023-01-01,52,34,87.79,424,Books
2023-01-02,93,47,402.95,142,Sports
2023-01-03,15,8,141.39,291,Books
2023-01-04,72,40,571.87,432,Sports
2023-01-05,61,49,692.57,749,Clothing
2023-01-06,21,44,802.58,852,Electronics
2023-01-07,83,19,208.15,824,Books
2023-01-08,87,42,175.81,689,Books
2023-01-09,75,41,113.52,653,Sports
2023-01-10,75,37,640.07,701,Clothing
2023-01-11,88,6,709.41,998,Clothing
2023-01-12,100,26,41.27,49,Sports
2023-01-13,24,34,936.85,302,Clothing
2023-01-14,3,45,61.45,881,Home
2023-01-15,22,6,545.88,190,Electronics
2023-01-16,53,37,711.97,136,Books
2023-01-17,2,33,872.26,555,Electronics
2023-01-18,88,22,716.95,404,Books
2023-01-19,30,21,803.71,892,Home
2023-01-20,38,6,346.06,865,Clothing
2023-01-21,2,6,816.68,602,Sports
2023-01-22,64,48,89.31,807,Home
2023-01-23,60,4,895.87,341,Electronics
2023-01-24,21,30,552.12,757,Sports
2023-01-25,33,11,819.12,945,Clothing
2023-01-26,76,30,457.8,704,Home
2023-01-27,58,31,647.14,318,Sports
2023-01-28,22,24,531.14,618,Home
2023-01-29,89,9,734.27,363,Home
2023-01-30,49,3,90.81,822,Clothing
2023-01-31,91,31,69.75,382,Books
2023-02-01,59,40,254.63,233,Sports
2023-02-02,42,37,167.95,777,Clothing
2023-02-03,92,36,873.07,344,Home
2023-02-04,60,24,227.02,549,Clothing
2023-02-05,80,31,976.11,817,Books
2023-02-06,15,6,343.53,553,Sports
2023-02-07,62,2,190.3,529,Books
2023-02-08,62,20,791.8,856,Electronics
2023-02-09,47,28,662.12,789,Sports
2023-02-10,62,11,503.21,819,Books
2023-02-11,51,4,559.81,571,Home
2023-02-12,55,15,722.01,935,Sports
2023-02-13,64,6,236.17,183,Sports
2023-02-14,3,49,996.37,41,Clothing
2023-02-15,51,30,975.05,551,Home
2023-02-16,7,38,653.82,397,Electronics
2023-02-17,21,2,207.55,704,Books
2023-02-18,73,15,683.43,779,Clothing
2023-02-19,39,11,81.48,494,Books
2023-02-20,18,8,40.35,659,Electronics
2023-02-21,4,26,265.11,907,Electronics
2023-02-22,89,45,468.0,333,Sports
2023-02-23,60,44,869.59,127,Electronics
2023-02-24,14,5,729.9,558,Books
2023-02-25,9,6,745.28,557,Home
2023-02-26,90,26,431.24,1,Home
2023-02-27,53,4,352.48,168,Sports
2023-02-28,2,19,377.33,620,Books
2023-03-01,84,20,987.77,19,Books
2023-03-02,92,33,49.71,332,Electronics
2023-03-03,60,20,868.36,584,Books
2023-03-04,71,49,582.89,456,Clothing
2023-03-05,44,12,444.23,957,Electronics
2023-03-06,8,47,728.01,109,Clothing
2023-03-07,47,1,491.8,268,Sports
2023-03-08,35,26,874.69,445,Home
2023-03-09,78,14,901.69,240,Sports
2023-03-10,81,38,427.5,929,Home
2023-03-11,36,37,284.06,301,Sports
2023-03-12,50,11,596.43,602,Books
2023-03-13,4,36,913.24,103,Clothing
2023-03-14,2,13,218.56,988,Home
2023-03-15,6,43,626.74,250,Electronics
2023-03-16,54,3,635.24,453,Clothing
2023-03-17,4,33,735.78,520,Electronics
2023-03-18,54,6,140.25,153,Clothing
2023-03-19,93,50,718.67,859,Clothing
2023-03-20,63,10,909.94,174,Sports
2023-03-21,18,5,187.89,343,Home
2023-03-22,90,23,245.17,670,Home
2023-03-23,44,10,971.68,431,Clothing
2023-03-24,34,44,189.17,727,Books
2023-03-25,74,2,855.84,689,Books
2023-03-26,62,13,497.36,687,Electronics
2023-03-27,100,40,254.76,852,Electronics
2023-03-28,14,2,872.04,850,Sports
2023-03-29,95,20,450.85,658,Clothing
2023-03-30,48,1,519.67,962,Electronics
2023-03-31,15,37,365.64,324,Electronics
2023-04-01,72,9,597.02,990,Clothing
2023-04-02,78,17,171.89,673,Sports
2023-04-03,87,9,397.17,639,Electronics
2023-04-04,62,11,969.72,420,Sports
2023-04-05,40,15,265.55,594,Home
2023-04-06,85,24,660.17,485,Sports
2023-04-07,80,38,331.94,659,Books
2023-04-08,82,35,775.74,751,Books
2023-04-09,53,30,139.56,412,Sports
2023-04-10,24,31,970.12,936,Books
2023-04-11,26,49,459.25,84,Home
2023-04-12,89,5,243.69,113,Clothing
2023-04-13,60,44,82.76,737,Books
2023-04-14,41,50,178.06,332,Books
2023-04-15,29,14,524.58,378,Sports
2023-04-16,15,11,343.63,755,Home
2023-04-17,45,9,830.59,655,Clothing
2023-04-18,65,34,436.58,41,Sports
2023-04-19,89,12,256.23,935,Sports
2023-04-20,71,35,620.97,770,Home
2023-04-21,9,35,709.71,959,Clothing
2023-04-22,88,1,175.37,797,Home
2023-04-23,1,40,175.94,105,Clothing
2023-04-24,8,22,46.3,202,Home
2023-04-25,88,29,739.04,450,Sports
2023-04-26,63,8,667.17,819,Sports
2023-04-27,11,11,479.88,843,Electronics
2023-04-28,81,41,845.73,973,Books
2023-04-29,8,37,807.61,266,Home
2023-04-30,35,14,589.5,910,Electronics
2023-05-01,35,30,869.59,210,Books
2023-05-02,33,35,213.78,563,Home
2023-05-03,5,21,120.8,118,Clothing
2023-05-04,41,37,277.05,713,Books
2023-05-05,28,5,66.52,377,Sports
2023-05-06,7,19,535.86,551,Electronics
2023-05-07,73,14,937.24,540,Books
2023-05-08,72,26,48.95,771,Books
2023-05-09,12,4,130.89,84,Sports
2023-05-10,34,25,457.68,454,Home
2023-05-11,33,45,934.54,667,Clothing
2023-05-12,48,42,322.99,629,Sports
2023-05-13,23,25,512.16,514,Clothing
2023-05-14,62,18,51.16,605,Home
2023-05-15,88,40,156.86,678,Books
2023-05-16,37,8,986.76,387,Clothing
2023-05-17,99,39,965.47,912,Electronics
2023-05-18,44,40,14.89,350,Electronics
2023-05-19,86,14,952.29,296,Sports
2023-05-20,91,32,642.73,258,Home
2023-05-21,35,38,869.24,81,Sports
2023-05-22,65,33,460.19,937,Sports
2023-05-23,99,23,520.44,268,Sports
2023-05-24,47,15,493.96,419,Electronics
2023-05-25,78,33,670.2,235,Electronics
2023-05-26,3,25,148.25,833,Sports
2023-05-27,1,17,39.67,311,Electronics
2023-05-28,5,33,314.85,813,Home
2023-05-29,90,47,707.63,975,Sports
2023-05-30,14,2,209.83,986,Electronics
2023-05-31,27,14,676.7,357,Clothing
2023-06-01,9,40,970.21,213,Sports
2023-06-02,79,40,102.96,574,Sports
2023-06-03,15,39,675.88,49,Home
2023-06-04,90,6,449.31,127,Books
2023-06-05,42,6,869.46,223,Books
2023-06-06,77,3,185.38,921,Home
2023-06-07,51,7,695.7,279,Home
2023-06-08,63,8,839.73,408,Home
2023-06-09,96,42,945.17,505,Books
2023-06-10,52,15,686.42,294,Home
2023-06-11,96,47,502.2,796,Electronics
2023-06-12,4,29,621.67,277,Sports
2023-06-13,94,33,870.22,438,Sports
2023-06-14,23,30,574.9,107,Clothing
2023-06-15,15,39,40.08,658,Clothing
2023-06-16,43,27,931.64,420,Sports
2023-06-17,29,36,692.63,611,Electronics
2023-06-18,36,29,679.75,429,Books
2023-06-19,13,38,223.52,375,Books
2023-06-20,32,33,662.3,73,Electronics
2023-06-21,71,37,399.93,949,Books
2023-06-22,59,27,654.72,998,Home
2023-06-23,86,33,115.53,634,Sports
2023-06-24,28,4,661.27,30,Sports
2023-06-25,66,22,999.42,188,Electronics
2023-06-26,42,2,57.73,364,Books
2023-06-27,45,10,977.4,866,Clothing
2023-06-28,62,5,412.84,800,Clothing
2023-06-29,57,10,872.05,451,Books
2023-06-30,6,33,784.56,195,Clothing
2023-07-01,28,38,571.35,156,Electronics
2023-07-02,28,13,741.06,172,Electronics
2023-07-03,44,31,879.73,847,Books
2023-07-04,84,47,410.1,41,Clothing
2023-07-05,30,36,333.76,63,Electronics
2023-07-06,62,45,670.92,23,Electronics
2023-07-07,75,24,809.77,360,Home
2023-07-08,92,15,764.66,75,Home
2023-07-09,89,29,799.84,560,Electronics
2023-07-10,62,8,441.23,672,Books
2023-07-11,97,5,819.66,825,Sports
2023-07-12,1,29,129.01,118,Sports
2023-07-13,27,47,549.04,612,Electronics
2023-07-14,62,4,15.7,380,Electronics
2023-07-15,77,12,331.34,929,Electronics
2023-07-16,3,45,372.8,920,Books
2023-07-17,70,2,402.21,679,Home
2023-07-18,72,27,698.51,290,Electronics
2023-07-19,27,31,394.67,440,Electronics
2023-07-20,9,36,454.21,668,Clothing
2023-07-21,62,36,245.17,933,Books
2023-07-22,37,26,379.52,7,Electronics
2023-07-23,97,43,235.0,196,Clothing
2023-07-24,51,27,82.46,421,Sports
2023-07-25,44,5,607.41,568,Electronics
2023-07-26,24,20,671.53,833,Electronics
2023-07-27,79,11,623.3,193,Clothing
2023-07-28,59,10,468.86,559,Books
2023-07-29,32,40,385.99,148,Electronics
2023-07-30,96,38,864.7,787,Sports
2023-07-31,88,6,523.89,669,Electronics
2023-08-01,52,8,484.39,202,Sports
2023-08-02,62,23,35.39,444,Home
2023-08-03,58,47,347.84,914,Home
2023-08-04,52,26,386.39,988,Sports
2023-08-05,12,46,404.83,419,Books
2023-08-06,39,43,584.37,427,Electronics
2023-08-07,2,12,538.27,479,Electronics
2023-08-08,3,26,611.83,475,Home
2023-08-09,56,13,767.23,126,Sports
2023-08-10,81,40,814.86,395,Electronics
2023-08-11,59,18,720.94,817,Electronics
2023-08-12,2,25,955.97,881,Books
2023-08-13,2,33,28.05,806,Clothing
2023-08-14,92,47,203.82,576,Home
2023-08-15,54,40,17.49,325,Home
2023-08-16,87,43,651.0,392,Clothing
2023-08-17,96,12,899.05,930,Electronics
2023-08-18,97,44,251.05,688,Books
2023-08-19,1,36,927.76,628,Books
2023-08-20,19,48,69.66,440,Home
2023-08-21,2,4,935.09,204,Books
2023-08-22,53,5,358.11,486,Clothing
2023-08-23,44,37,110.41,833,Electronics
2023-08-24,90,8,491.01,31,Clothing
2023-08-25,32,42,264.21,388,Sports
2023-08-26,70,49,292.02,625,Home
2023-08-27,32,28,314.22,877,Books
